price,living_area,type_of_house,year_of_construction,number_of_rooms,balcony,garden,interior,latitude,longitude
"€4,500 per month",145 m²,Flat,1879,4,Not present,Present (50 m²),Upholstered,52.358875849594,4.8957716078904
"€3,300 per month",85 m²,Flat,1876,3,Present,Not present,Furnished,52.356713149411,4.8901147239627
"€5,600 per month",170 m²,Flat,1980,5,Not present,Not present,Upholstered,52.349178856739,4.8726898284284
"€2,100 per month",70 m²,Flat,,3,Present,Not present,Furnished,52.320828259851,4.945298566268
"€3,250 per month",92 m²,Flat,,3,Not present,Not present,Furnished,52.352815761526,4.8802948439932
"€2,975 per month",69 m²,Flat,,4,Present,Not present,Upholstered or furnished,52.349197203479,4.8485317633834
"€2,950 per month",110 m²,Flat,1905,3,Not present,,Furnished,52.377008718623,4.8968924271362
"€2,600 per month",70 m²,Flat,1913,3,Present,Not present,Upholstered,52.38279069963,4.8513205048705
"€2,000 per month",50 m²,Flat,1900,2,Not present,Present (20 m²),Furnished,52.365653072568,4.8746864213491
"€1,150 per month",22 m²,Flat,2003,2,Not present,Present,Furnished,52.342550857587,4.7913669977859
"€2,850 per month",85 m²,House,2009,3,Not present,Present,,52.367025660911,4.86383481035
"€2,750 per month",57 m²,Flat,1911,3,Not present,Present (140 m²),Upholstered,52.380085557539,4.8559259866554
"€2,950 per month",115 m²,Flat,2008,3,Not present,,Upholstered,52.339913808034,4.8941179545263
"€2,350 per month",58 m²,Flat,2006,2,Not present,,Furnished,52.370470741133,4.8831179521085
"€2,950 per month",77 m²,Flat,1996,3,Present,Not present,Furnished,52.358109476924,4.8599563867843
"€2,000 per month",60 m²,Flat,1905,2,Not present,,Furnished,52.376953545175,4.8816344273115
"€2,200 per month",110 m²,Flat,1994,3,Present,Present,Furnished,52.345532842691,4.8109335127936
"€2,250 per month",80 m²,Flat,1965,4,Present,Not present,Furnished,52.331921190791,4.8849786644945
"€1,975 per month",45 m²,Flat,1925,2,Present,,Upholstered or furnished,52.370816777514,4.851396902168
"€2,950 per month",87 m²,Flat,1911,3,Not present,Not present,Furnished,52.354407378845,4.8558811331264
"€8,500 per month",216 m²,Flat,1640,5,Not present,Not present,Furnished,52.367018122204,4.8828048014647
"€1,850 per month",76 m²,Flat,1976,3,Present,,Upholstered,52.410055687933,4.9235101230388
"€3,200 per month",70 m²,Flat,1900,3,Present,Not present,Upholstered,52.354145707091,4.9310518769569
"€2,000 per month",58 m²,Flat,1928,3,Present,Not present,Furnished,52.355974024032,4.850519237426
"€2,100 per month",73 m²,Flat,1968,3,Not present,,Furnished,52.394144881043,4.9439361636123
"€1,750 per month",67 m²,Flat,1890,2,Not present,,Upholstered or furnished,52.362547916029,4.8778346840881
"€1,950 per month",64 m²,Flat,1928,2,Present,Not present,Furnished,52.347368359434,4.8759248764046
"€5,000 per month",122 m²,Flat,1932,4,Present,Not present,Furnished,52.347643765326,4.873896803121
"€2,650 per month",67 m²,Flat,1860,3,Not present,Not present,Furnished,52.371361789791,4.8799500871274
"€8,000 per month",217 m²,Flat,1903,7,Present,"Present (50 m², located on the west)",Furnished,52.353952440018,4.8688181389203
"€1,990 per month",52 m²,Studio,1902,2,Not present,"Present (25 m², located on the south)",Furnished,52.383078366029,4.8742500219587
"€7,800 per month",209 m²,Flat,1909,5,Present,Not present,Upholstered,52.353114434784,4.8683288754004
"€2,500 per month",67 m²,Flat,1943,3,Present,Not present,Upholstered or furnished,52.375746690585,4.9025309065932
"€2,575 per month",123 m²,House,2007,4,Not present,Present,Upholstered or furnished,52.35428885377,4.8039796605458
"€2,450 per month",75 m²,Flat,1922,3,Present,Not present,,52.373808381909,4.8611261900846
"€2,250 per month",79 m²,Flat,2016,3,Present,Not present,Furnished,52.399279368226,4.9039306371573
"€2,350 per month",61 m²,Flat,1938,2,Present,Not present,Furnished,52.372394674654,4.9048289210909
"€2,500 per month",85 m²,Flat,1931,3,Not present,Present (25 m²),Upholstered,52.360229881627,4.855532486924
"€2,200 per month",50 m²,Flat,,2,Present,Not present,Furnished,52.363047633989,4.8626044643744
"€3,400 per month",100 m²,Flat,1949,4,Not present,Not present,Furnished,52.373444221497,4.8441696393811
"€2,750 per month",80 m²,Flat,1991,3,Present,Not present,Furnished,52.368893205504,4.9353932906641
"€1,750 per month",45 m²,Flat,,2,Present,Not present,Upholstered,52.36024938788,4.8932313799711
"€3,250 per month",158 m²,House,2009,4,Not present,"Present (139 m², located on the north-east)",Upholstered,52.356278975661,4.9946191644545
"€2,300 per month",95 m²,Flat,,4,Present,Not present,Furnished,52.395952488751,4.9323700879325
"€1,950 per month",60 m²,Flat,,3,Present,Not present,Furnished,52.38039263491,4.8522652357732
"€2,550 per month",80 m²,Flat,,3,Present,Not present,Furnished,52.372525763282,4.8760901372734
"€2,550 per month",84 m²,Flat,,4,Present,Not present,Furnished,52.307772076316,4.9786545706773
"€2,900 per month",115 m²,Flat,1930,3,Not present,,Furnished,52.358194496154,4.9071411938656
"€3,000 per month",100 m²,Flat,,3,Not present,Not present,Furnished,52.361064136324,4.8433081975665
"€1,850 per month",41 m²,Flat,1892,2,Present,Not present,Upholstered,52.35600902693,4.8936749107776
"€1,750 per month",50 m²,Flat,1985,2,Not present,"Present (25 m², located on the south)",Upholstered,52.3676725046,4.9405593650111
"€1,850 per month",75 m²,Flat,2007,3,Not present,"Present (16 m², located on the south-west)",Upholstered or furnished,52.360231019057,4.7898083495745
"€2,850 per month",100 m²,Flat,1881,3,Not present,Not present,Furnished,52.373144934038,4.8758627332932
"€2,950 per month",83 m²,Flat,1940,3,Not present,,,52.322016996311,4.8571130151446
"€2,200 per month",48 m²,Flat,1884,2,Present,,Furnished,52.355122734571,4.8880775293467
"€2,900 per month",70 m²,Flat,1934,3,Not present,"Present (50 m², located on the south-west)",Upholstered,52.34212642806,4.9076377818491
"€1,850 per month",71 m²,Flat,1989,3,Present,Not present,Upholstered,52.4169262956,4.8848236693176
"€2,550 per month",70 m²,Flat,1913,3,Present,Not present,Upholstered,52.382822128895,4.8512150775809
"€2,000 per month",70 m²,Flat,1885,2,Present,Not present,Furnished,52.354314282327,4.9106501771668
"€2,166 per month",131 m²,Flat,2024,3,Not present,Present (28 m²),Upholstered,52.362411525547,4.8041510664907
"€3,000 per month",110 m²,Flat,2001,3,Not present,Not present,Furnished,52.366482628542,4.9209997645498
"€1,800 per month",56 m²,Flat,1881,2,Not present,Not present,Upholstered,52.354907240557,4.8928441443303
"€1,950 per month",50 m²,Flat,1881,3,Not present,Not present,Upholstered,52.354896977817,4.8928487502881
"€4,000 per month",134 m²,Flat,1901,4,Present,Not present,,52.354563719984,4.8729650049709
"€2,400 per month",100 m²,Flat,2001-2010,3,Not present,Not present,,52.356026493796,4.8326542820956
"€2,900 per month",70 m²,Flat,1914,3,Not present,Not present,Upholstered,52.351158366484,4.857779208606
"€2,950 per month",110 m²,Flat,1930,4,Present,Present,Upholstered,52.347911335642,4.8767845216646
"€2,800 per month",96 m²,Flat,,2,Not present,Not present,Furnished,52.357194245457,4.8955553611742
"€1,475 per month",55 m²,Flat,2023,2,Not present,,Upholstered,52.313556224923,4.9542640717113
"€3,000 per month",85 m²,Flat,2020,2,Not present,,Upholstered or furnished,52.352744204013,4.8545917626218
"€1,255 per month",35 m²,Studio,1970,2,Present,Not present,Furnished,52.365475109597,4.885597254606
"€2,750 per month",130 m²,Flat,1968,4,Not present,Not present,Upholstered,52.32760225179,4.8859663520458
"€2,495 per month",109 m²,Flat,1965,3,Not present,Present,,52.325546278126,4.8822636623149
"€2,500 per month",90 m²,Flat,2008,3,Present,Not present,Furnished,52.35691498884,4.996697975573
"€4,000 per month",140 m²,Flat,1927,5,Present,,Upholstered,52.359442444627,4.8543087937496
"€3,500 per month",104 m²,Flat,1940,3,Present,,Furnished,52.322009806438,4.8571131009423
"€2,750 per month",93 m²,House,,3,Not present,Present,Furnished,52.355336101727,4.8291840421544
"€2,200 per month",70 m²,Flat,,3,Present,Not present,Upholstered,52.381111133545,4.8442520006486
"€2,650 per month",92 m²,House,,4,Not present,Present,Upholstered,52.373154205668,4.8113235910212
"€1,950 per month",50 m²,Flat,1924,3,Not present,Not present,Upholstered,52.377688611003,4.8585541474256
"€4,250 per month",204 m²,Flat,1906-1930,6,Not present,,Furnished,52.348966143691,4.8713126923487
"€2,500 per month",80 m²,Flat,1920,3,Not present,Present,Upholstered,52.370984467433,4.8668276708061
"€2,500 per month",80 m²,Flat,1903,3,Not present,"Present (51 m², located on the north-west)",Upholstered,52.352290380087,4.9117991683729
"€3,000 per month",80 m²,Flat,1908,3,Present,Present (60 m²),Upholstered,52.36805604806,4.8712962686641
"€8,950 per month",202 m²,House,1877,5,Not present,"Present (60 m², located on the south)",Furnished,52.37491662943,4.8824065905675
"€2,150 per month",82 m²,Flat,1905,3,Not present,Not present,Furnished,52.369182379144,4.9405441636804
"€2,900 per month",126 m²,Flat,1889,3,Not present,Not present,Furnished,52.358779277715,4.9230624717071
"€3,850 per month",114 m²,Flat,1897,3,Not present,Not present,Furnished,52.377164611362,4.8911631923704
"€2,255 per month",64 m²,Flat,1920,3,Not present,Not present,Upholstered,52.348966867397,4.9056118946133
"€3,150 per month",110 m²,Flat,1938,4,Not present,Present,Upholstered or furnished,52.346747912254,4.8927799197612
"€1,950 per month",52 m²,Flat,1930,2,Present,Not present,Upholstered,52.36701738577,4.8539241521109
"€2,250 per month",75 m²,Flat,,3,Present,Not present,Furnished,52.407743667347,4.917718345102
"€1,600 per month",63 m²,Flat,1904,2,Not present,Not present,,52.370573331243,4.8694021535276
"€2,500 per month",85 m²,Flat,2004,3,Not present,,Upholstered or furnished,52.370623860357,4.9296783790492
"€2,750 per month",71 m²,Flat,1886,3,Present,,Upholstered or furnished,52.355623541329,4.8982443024023
"€2,475 per month",67 m²,Flat,1881,3,Not present,Not present,Furnished,52.36181266804,4.9102815637976
"€2,300 per month",80 m²,Flat,1900,3,Not present,Not present,Upholstered,52.352523801539,4.8567403178199
"€3,800 per month",149 m²,Flat,1888,4,Not present,Not present,,52.365166513465,4.8806676037028
"€3,800 per month",132 m²,Flat,2004,5,Not present,Present,Upholstered,52.355005791044,4.7981134413967
"€2,200 per month",65 m²,Flat,1918,3,Present,Not present,Upholstered,52.372278816942,4.8527302014125
"€2,395 per month",97 m²,Flat,,4,Present,Not present,Upholstered,52.380031803762,4.8025542791706
"€1,950 per month",77 m²,Flat,1922,2,Not present,Present,Furnished,52.324978482164,4.8572453358467
"€2,650 per month",60 m²,Flat,,2,Present,Not present,Furnished,52.365706253557,4.9247078132
"€2,600 per month",70 m²,Flat,1913,3,Present,Not present,Upholstered,52.382816620443,4.8512073596087
"€2,650 per month",90 m²,Flat,2002,3,Not present,Not present,Furnished,52.392530497052,4.8904330043946
"€2,100 per month",59 m²,Flat,1973,2,Not present,Present,Furnished,52.362583468945,4.9329470795574
"€2,800 per month",100 m²,Flat,1900,4,Present,Present,Upholstered,52.350167078568,4.7885054588466
"€2,600 per month",70 m²,Flat,1913,3,Present,Not present,Upholstered,52.382811347454,4.8512000353638
"€2,750 per month",122 m²,Flat,1957,3,Present,Not present,Upholstered,52.350178732627,4.8773602049182
"€1,950 per month",57 m²,Flat,1915,3,Not present,Present (35 m²),Upholstered or furnished,52.366112570033,4.8585893190612
"€2,295 per month",80 m²,Flat,2003,3,Present,,Upholstered or furnished,52.378336716056,4.8468267093713
"€1,900 per month",60 m²,Flat,1902,3,,Not present,Upholstered,52.369777026555,4.9154294799432
"€2,350 per month",72 m²,Flat,2020,2,Present,,Upholstered,52.40289654225,4.8877880404153
"€2,750 per month",85 m²,Flat,2020,3,Present,,Upholstered,52.402852013021,4.8875610721833
"€3,250 per month",124 m²,Flat,1931,4,Not present,Not present,,52.345037859831,4.8773898981863
"€2,900 per month",70 m²,Flat,1881,3,Present,Not present,Upholstered or furnished,52.367063778983,4.8766816400396
"€3,850 per month",125 m²,Flat,1905,5,Not present,Present (18 m²),,52.379224906084,4.8852655018373
"€2,150 per month",75 m²,Flat,1900,2,Not present,Not present,Furnished,52.374895998807,4.8902780832067
"€1,830 per month",63 m²,Flat,2023,3,,Not present,,52.358182303706,4.8065280478225
"€2,500 per month",85 m²,Flat,2015,3,Not present,Present (8 m²),,52.370314570607,4.874529499241
"€2,350 per month",73 m²,Flat,1800,3,Not present,Present,Furnished,52.38067617447,4.8905364298486
"€2,600 per month",70 m²,Flat,1913,3,Present,Not present,Upholstered,52.3828054839,4.8511932910852
"€2,500 per month",62 m²,Flat,1905,3,Present,,Furnished,52.369428092086,4.8685345182837
"€2,850 per month",89 m²,Flat,,3,Present,Not present,Furnished,52.353770839048,4.882955366687
"€2,450 per month",63 m²,Flat,1901,3,Present,Not present,,52.372333686986,4.873243587519
"€2,650 per month",90 m²,Flat,1930,4,Present,,Upholstered,52.34923046165,4.8868228867177
"€2,150 per month",62 m²,Flat,1932,3,Not present,Not present,,52.377265718363,4.8727311669336
"€3,000 per month",90 m²,Flat,2014,3,Not present,"Present (22 m², located on the south)",Furnished,52.379292215193,4.8855815895779
"€1,600 per month",87 m²,House,,2,Not present,Present,Furnished,52.32106994578,4.9853525832303
"€2,950 per month",112 m²,Flat,2007,4,Not present,Present,Upholstered or furnished,52.349834628927,4.7992828513253
"€3,450 per month",150 m²,Flat,2020,5,Present,Not present,Upholstered,52.394176397172,4.8987806115408
"€2,500 per month",55 m²,Flat,1913,2,Present,,Upholstered or furnished,52.354712142195,4.8856077042455
"€2,300 per month",53 m²,Flat,1907,2,Present,Not present,Furnished,52.354246204617,4.927665351358
"€2,750 per month",80 m²,Flat,2021,3,Present,,,52.387658376336,4.9024603528307
"€2,500 per month",65 m²,Flat,1910,3,Not present,Present (31 m²),Furnished,52.362684694619,4.8658973358218
"€1,775 per month",79 m²,Flat,2020,3,Present,Not present,Upholstered,52.401751726045,4.933990426264
"€1,750 per month",60 m²,Flat,,2,Present,Not present,Furnished,52.318792559742,4.978906086165
"€1,850 per month",57 m²,Flat,1906,2,Not present,,Upholstered or furnished,52.325625635997,4.8572522833084
"€1,600 per month",120 m²,House,2009,5,Not present,,,52.406713542471,4.9147276769016
"€2,350 per month",110 m²,Flat,2017,3,Not present,Present,,52.374493754353,4.9635600926918
"€2,150 per month",53 m²,Flat,,2,Not present,Not present,Upholstered,52.363723431944,4.9255946871803
"€2,270 per month",70 m²,Flat,2024,2,Not present,Present,,52.40286988957,4.8877998171381
"€2,450 per month",50 m²,Flat,1910,3,Present,Not present,Upholstered,52.366166644283,4.8646965185245
"€1,450 per month",56 m²,Flat,2020,2,Not present,Not present,,52.407146083453,4.9188069077205
"€2,950 per month",120 m²,Flat,,3,Not present,Not present,Furnished,52.351106795315,4.796653421611
"€1,176 per month",58 m²,Flat,2022,2,Not present,Not present,Upholstered,52.30457933828,4.9484367357199
"€2,350 per month",55 m²,Flat,,3,Present,Not present,Upholstered,52.354361172614,4.8496286798608
"€1,400 per month",45 m²,Flat,1935,2,Present,Not present,,52.341359050609,4.9067949749651
"€2,150 per month",55 m²,Flat,1906-1930,2,Not present,"Present (30 m², located on the south-west)",Furnished,52.353696655692,4.901758931542
"€2,250 per month",75 m²,Flat,1900,2,Not present,Present,Furnished,52.367014626079,4.8798830082651
"€2,500 per month",60 m²,Flat,1923,1,Present,"Present (7 m², located on the south-west)",,52.358638568584,4.8779089193098
"€1,850 per month",50 m²,Flat,1930,2,Not present,Not present,Upholstered,52.381203818583,4.8488039327205
"€2,800 per month",95 m²,Flat,2006,3,Present,Not present,Furnished,52.369457140741,4.9051838976337
"€1,850 per month",70 m²,Flat,2015,3,Present,Not present,Furnished,52.319817116465,4.9779947599254
"€2,200 per month",110 m²,Flat,2017,3,Not present,Not present,Shell,52.375481898804,4.8773856567428
"€2,500 per month",100 m²,Flat,2000,3,Present,Not present,Furnished,52.34463966136,4.9157553383114
"€1,900 per month",60 m²,Flat,1920,2,Not present,"Present (35 m², located on the north-west)",Furnished,52.360815372443,4.8558190823622
"€1,800 per month",68 m²,Flat,1890,2,Present,Not present,Furnished,52.357394248262,4.9092783591265
"€2,400 per month",70 m²,Flat,1939,3,Present,Not present,Furnished,52.34738785502,4.8762768779724
"€3,850 per month",170 m²,House,,4,Not present,Not present,Upholstered,52.376698889978,4.8809324125445
"€2,800 per month",100 m²,Flat,1969,4,Not present,Not present,Upholstered,52.312548532715,4.954487565837
"€2,750 per month",76 m²,Flat,1930,3,Not present,,Upholstered,52.345048118942,4.8973857471641
"€3,450 per month",131 m²,Flat,1927,5,Present,,Furnished,52.359991712424,4.8525405634359
"€5,950 per month",250 m²,House,1930,6,Present,"Present (56 m², located on the south)",Upholstered,52.347590607859,4.8795326503362
"€2,850 per month",100 m²,Flat,2000,4,,Not present,Furnished,52.350769245218,4.8444177349398
"€2,650 per month",100 m²,Flat,,3,,Not present,Upholstered,52.34528546523,4.9154256221775
"€1,850 per month",98 m²,Flat,2007,3,Not present,Not present,Upholstered,52.316429719319,4.9540684580505
"€3,750 per month",117 m²,Flat,1897,4,Not present,"Present (66 m², located on the south)",Furnished,52.361260302144,4.8669563998081
"€4,500 per month",140 m²,Flat,2011,3,Present,Not present,,52.340427249308,4.91808334685
"€3,350 per month",119 m²,Flat,Before 1906,4,Not present,Not present,Upholstered or furnished,52.366323271695,4.8863805115058
"€2,350 per month",60 m²,Flat,Before 1906,3,Not present,Not present,Upholstered,52.369202235483,4.8915724720123
"€4,250 per month",115 m²,Flat,1883,4,Not present,Present (48 m²),Furnished,52.357695425648,4.859570361546
"€2,250 per month",50 m²,Flat,1925,2,Not present,Present (110 m²),Furnished,52.34712143741,4.8606059679688
"€1,800 per month",45 m²,Flat,1905,2,Not present,"Present (15 m², located on the north-west)",,52.385028344575,4.8741687091539
"€2,350 per month",102 m²,Flat,1966,3,,,Upholstered,52.325815475915,4.8800602591682
"€2,150 per month",75 m²,Flat,1882,2,,,Upholstered,52.354377247603,4.8903317068197
"€2,400 per month",75 m²,Flat,1886,3,,Present (20 m²),Upholstered,52.355903439045,4.8991463478199
"€2,500 per month",70 m²,Flat,1907,3,Not present,Present,Upholstered,52.370402101388,4.8672456465991
"€2,250 per month",92 m²,Flat,1905,2,Not present,,Furnished,52.364180314359,4.8961826668991
"€1,650 per month",71 m²,Flat,1977,3,Not present,"Present (48 m², located on the south-east)",Upholstered,52.297777747518,4.9709475032496
"€2,650 per month",69 m²,Flat,Before 1906,2,Not present,Not present,Furnished,52.361389368355,4.8864655636343
"€1,500 per month",50 m²,Flat,2006,2,Not present,,Furnished,52.316567038978,4.9474381624166
